rank	spec	total_ms	load_ms	cases_ms	cases
122	theme_snapshot.spec	5.3	3.1	2.2	21
123	async_completeness.spec	5.2	3.7	1.5	23
124	virtual_list_row_gap.spec	5.1	2.3	2.9	9
125	reduced_motion_seam.spec	5.1	2.7	2.4	9
126	paradigm_textinput.spec	5.1	4.1	1.0	5
127	chip.spec	5.0	3.7	1.3	14
128	motion_spring.spec	5.0	4.6	0.4	16
129	tier.spec	4.9	1.2	3.7	7
130	animation_precedence.spec	4.8	1.9	2.9	5
131	scroll_window_clip.spec	4.8	1.2	3.5	6
132	theme_assets.spec	4.7	1.7	3.0	14
133	pointer.spec	4.7	3.6	1.1	11
134	feedback.spec	4.6	2.6	1.9	12
135	scroll_bar_measure.spec	4.5	1.2	3.3	5
136	container_relative_incremental.spec	4.4	2.3	2.1	5
137	grid_row.spec	4.4	3.6	0.8	17
138	perf_evidence.spec	4.3	3.9	0.4	29
139	fractional_offsets.spec	4.1	2.8	1.4	12
140	late_contributions.spec	4.0	1.9	2.1	9
141	matrix_rows.spec	4.0	3.7	0.3	16
142	sensory_feedback.spec	4.0	2.9	1.1	14
143	toast_schedule.spec	4.0	3.4	0.6	17
144	motion_timeline.spec	3.9	3.6	0.2	14
145	replication.spec	3.6	3.2	0.3	16
146	touch_gestures.spec	3.5	2.2	1.3	21
147	paradigm_input_axis.spec	3.5	2.4	1.1	15
148	autoscroll.spec	3.5	3.0	0.5	25
149	fuzz_replication.spec	3.4	1.8	1.6	2
150	path.spec	3.3	2.1	1.2	11
151	navigation_groups.spec	3.1	2.3	0.8	13
152	input.spec	3.1	2.9	0.2	18
153	controls_conformance.spec	3.1	2.0	1.1	27
154	diagnostic_replay.spec	3.0	1.5	1.5	3
155	preferred_text_seam.spec	3.0	2.3	0.7	12
156	mount.spec	2.9	1.8	1.1	8
157	layout_v1.spec	2.8	2.3	0.5	9
158	focus_skip.spec	2.8	2.6	0.2	20
159	preview.spec	2.7	2.3	0.4	5
160	text_fit.spec	2.5	2.0	0.5	16
161	runtime_quarantine.spec	2.3	1.8	0.5	10
162	measure_memo.spec	2.2	2.0	0.2	5
163	error_boundary.spec	2.1	1.6	0.6	6
164	interaction_tokens.spec	2.0	1.7	0.4	15
165	paradigm_carry.spec	2.0	1.5	0.4	2
166	drag_session.spec	1.9	1.8	0.1	11
167	zstack_fill_diagnostic.spec	1.9	1.1	0.7	3
168	focus.spec	1.8	1.6	0.2	9
169	async_image.spec	1.8	1.1	0.6	4
170	slice_mutation.spec	1.8	1.3	0.5	3
171	selection_bridge.spec	1.7	0.7	1.0	4
172	hint_no_remount.spec	1.6	1.2	0.4	5
173	gamepad_contention.spec	1.4	0.5	0.9	5
174	value_reveal.spec	1.2	1.2	0.1	10
175	focus_structural.spec	1.2	0.9	0.3	2
176	row_actions_state.spec	1.1	1.0	0.0	13
177	instance_park_corpse.spec	1.0	0.5	0.4	3
178	text_calibration.spec	0.9	0.8	0.1	9
179	icon_ns_glyph.spec	0.5	0.4	0.0	5
--	TOTAL attributed	44396.4	2111.4	42285.0	4569
--	unattributed (print/GC/startup)	27.9			
--	harness wall	44424.3			

rank	case_ms	spec	case
1	7392.9	perf_lab.spec	the identity workload walks its whole collection cleanly at every phone width
2	3352.7	perf_lab.spec	Run all ends by saying how to take the dump
3	3336.2	perf_lab.spec	Run all sweeps every workload and ONE failure does not end the sweep
4	984.9	example_drift.spec	R2 does NOT fire on the legal vocabularies
5	825.3	example_drift.spec	R4: an engine or adapter reach-around
6	497.3	example_drift.spec	R3: a raw colour, in each of its three spellings
7	477.7	theme_drift.spec	catches a hardcoded text size, gap, padding and named metric constant
8	436.1	perf_lab.spec	running a scenario executes its declared sequence and records each pass separately
9	387.1	perf_lab.spec	scrolling a virtualized list does NOT grow the reactive core (the row must own its controls)
10	324.0	example_drift.spec	R1: a numeric padding and a numeric gap
11	318.3	reference/cartwheel_spec	reports NO layout diagnostics on any real viewport, in any section
12	260.6	instance_recycling.spec	the pool is BOUNDED — a long scroll cannot grow it without limit
13	242.6	theme_drift.spec	catches drift in the renderer and the presenter too, not only in controls
14	225.8	reference/cartwheel_spec	visits all nine and leaves the core error-free, in both locales
15	206.3	reference/sipworks_spec	reset returns a world to its seeded start, and replaying the loop reproduces the dump
16	205.3	extension_checker.spec	an allowlist entry needs a REASON — an empty one is itself a problem
17	202.7	extension_checker.spec	reports an export missing from the API reference AND a documented ghost
18	201.5	extension_checker.spec	reports dump = false with no reason, and accepts one with a reason
19	200.8	reference/sipworks_spec	same seed + same steps => identical dump, in two independent worlds
20	194.5	perf_lab.spec	the bound is not a bigger row count away from firing: 20 000 rows window the same
21	192.6	reference/glade_spec	no VISIBLE bottom tab is cut off in the normal text range
22	171.9	example_drift.spec	R4: a platform branch is refused by name
23	170.9	perf_lab.spec	survives ROTATION after mounting — the case a real device found
24	169.9	reference/foyer_spec	no bottom wing carries a title at all: the bands are the ICON-ONLY presentation
25	167.0	example_drift.spec	the allowlist suppresses ONLY its own line, in its own file
26	163.8	example_drift.spec	R2: a tint naming a palette role the framework does not resolve
27	162.6	example_drift.spec	R2: a typography role that does not exist
28	161.4	example_drift.spec	R1: a px text size
29	160.9	example_drift.spec	the seven examples are clean
30	160.7	example_drift.spec	R2: an INVENTED surface token — the defect that made the word-game board invisible
